,city,street,housenumber,lon,lat
741,москва,беловежская улица,37к1с1,37.39387476,55.71242960000001
743,москва,говорова улица,8к1,37.396855683333335,55.717999283333334
744,москва,говорова улица,8к3,37.3978493,55.71835131666666
745,москва,говорова улица,8к2,37.39757026,55.71791423999999
747,москва,говорова улица,10к1,37.39617386153846,55.718634484615386
748,москва,говорова улица,12,37.39540582000001,55.71921486
749,москва,говорова улица,10к2,37.396654719999994,55.71918684
750,москва,толбухина улица,5к2,37.40036411999999,55.71866152
751,москва,толбухина улица,5к3,37.39955424,55.71902368
752,москва,толбухина улица,5к1,37.40096348888889,55.71907984444445
753,москва,толбухина улица,7к3,37.39793501764705,55.71954632941177
754,москва,толбухина улица,7к1,37.400325692857145,55.71993439285715
797,москва,симферопольский бульвар,2,37.61095788,55.66194112000001
798,москва,нахимовский проспект,7к2,37.610070175,55.66317558749999
799,москва,нахимовский проспект,7к1,37.6111068,55.663092600000006
801,москва,симферопольский бульвар,2в,37.61022438,55.661507140000005
806,москва,симферопольский бульвар,2а,37.611536060000006,55.66262596
811,москва,рублёвское шоссе,121,37.41175675454545,55.7474839090909
815,москва,рублёвское шоссе,135с1,37.377164011999994,55.761202108000006
825,москва,сивашская улица,6к2,37.60171168750001,55.6622792875
826,москва,сивашская улица,6к1,37.60063876,55.66216992
828,москва,сивашская улица,21,37.59892658,55.66191858
829,москва,сивашская улица,19,37.59952226,55.6616847
830,москва,сивашская улица,17,37.60010956,55.66146626
831,москва,сивашская улица,15,37.600684,55.661232940000005
832,москва,сивашская улица,13,37.6012699,55.66101664
847,москва,азовская улица,2к1,37.60463704,55.66278332
848,москва,нахимовский проспект,11к2,37.605612283333336,55.663259383333326
850,москва,нагорная улица,39к1,37.59243471111111,55.669617244444446
851,москва,нагорная улица,39к2,37.593138466666666,55.66947393333333
852,москва,нагорная улица,39к3,37.593792477777775,55.66926504444445
853,москва,нагорная улица,39к4,37.594421233333335,55.6690414111111
854,москва,зорге улица,14к3,37.510899487500005,55.78482115
859,москва,викторенко улица,12/1,37.5239878875,55.7962787375
868,москва,зорге улица,14к2,37.510936779999994,55.784332840000005
869,москва,говорова улица,14к2,37.39484012,55.72004922
870,москва,говорова улица,14к3,37.3957039,55.72012694
871,москва,говорова улица,14к4,37.396622320000006,55.72020284
872,москва,говорова улица,14к5,37.397480079999994,55.72027837999999
876,москва,большой купавенский проезд,6/1,37.82069104,55.77600092
877,москва,большой купавенский проезд,8,37.820554259999994,55.7766354
878,москва,магнитогорская улица,2,37.82123373636364,55.77261539090909
883,москва,балаклавский проспект,26,37.5913306,55.64274708666666
885,москва,азовская улица,32,37.59377092857143,55.64336795714286
886,москва,балаклавский проспект,28в,37.59352710833333,55.643956266666656
887,москва,плещеева улица,8,37.6080835125,55.8846941375
888,москва,плещеева улица,14а,37.61312827272727,55.8855382909091
889,москва,плещеева улица,18к2,37.61562556,55.88665684
890,москва,плещеева улица,16,37.61315017333333,55.88691873999999
891,москва,плещеева улица,26,37.61914322,55.889141820000006
892,москва,плещеева улица,22а,37.617387709090906,55.88731792727273
893,москва,плещеева улица,22,37.617067266666666,55.88807915
894,москва,плещеева улица,16а,37.61450998260869,55.88626002173913
897,москва,севастопольский проспект,49,37.58595534,55.66895388
898,москва,нахимовский проспект,27к1,37.58697038,55.66858286
899,москва,нахимовский проспект,27к2,37.58800436,55.66823813999999
900,москва,нахимовский проспект,25к1,37.58914822,55.66802048
901,москва,азовская улица,15,37.598988913333336,55.656312699999994
902,москва,болотниковская улица,15,37.60164528571428,55.656245657142854
904,москва,болотниковская улица,17,37.600243680000005,55.65644306
906,москва,веерная улица,3к5,37.47790637142857,55.7062348
913,москва,азовская улица,17,37.5987231,55.6555341
915,москва,чонгарский бульвар,28,37.6005695,55.65389788
916,москва,чонгарский бульвар,26,37.60204882,55.65388774
950,москва,семёновская площадь,5,37.71790011,55.781678709999994
952,москва,зеленодольская улица,12,37.785204400000005,55.71512537692307
953,москва,верхняя масловка улица,12,37.565623499999994,55.79380953333334
954,москва,верхняя масловка улица,8,37.56654966999999,55.79349302000001
955,москва,верхняя масловка улица,10,37.566350037499994,55.79391447500001
957,москва,петровско-разумовский проезд,5,37.56860838749999,55.793856475
958,москва,петровско-разумовский проезд,7,37.56840306666666,55.79486867777777
959,москва,петровско-разумовский проезд,8,37.569592711111106,55.794001699999995
960,москва,петровско-разумовский проезд,8а,37.57022352222222,55.79404715555555
961,москва,1-я улица бебеля,7а,37.571191866666666,55.794112355555555
963,москва,петровско-разумовский проезд,4,37.5698883,55.79263785
964,москва,петровско-разумовская аллея,8,37.56379872666666,55.79252480666666
965,москва,петровско-разумовская аллея,6,37.56523946,55.79202141
966,москва,верхняя масловка улица,5,37.566375883333336,55.79217511666666
967,москва,верхняя масловка улица,3,37.5674165125,55.79200435416666
968,москва,петровско-разумовская аллея,4,37.56693807999999,55.791722660000005
969,москва,верхняя масловка улица,4,37.56784673999999,55.792687410000006
970,москва,петровско-разумовский проезд,3/1,37.56891085000001,55.79283102857145
971,москва,верхняя масловка улица,2,37.569103758333334,55.79221073333333
972,москва,верхняя масловка улица,1,37.568362840000006,55.791656749999994
973,москва,верхняя масловка улица,11,37.56363994444444,55.79300055555555
974,москва,верхняя масловка улица,9,37.56474436333334,55.79274993
975,москва,верхняя масловка улица,16к1,37.56424523125,55.794016025000005
979,москва,верхняя масловка улица,24,37.560245575,55.79730294375
980,москва,мишина улица,39,37.56096874000001,55.79754892000001
981,москва,мишина улица,42,37.5622446,55.79742421428572
982,москва,мишина улица,38,37.56294800769231,55.79685937692308
983,москва,мишина улица,35,37.5617884875,55.79672195
984,москва,верхняя масловка улица,29,37.5571774764706,55.79869932352941
985,москва,верхняя масловка улица,27к1,37.557571509090906,55.79813742727272
986,москва,верхняя масловка улица,27к2,37.55718081,55.79766445
987,москва,петровско-разумовская аллея,22,37.556318472222216,55.797287888888896
989,москва,петровско-разумовская аллея,18,37.558555133333336,55.796799008333345
990,москва,верхняя масловка улица,23,37.55954955454546,55.79677622727274
991,москва,верхняя масловка улица,26,37.560015105,55.79817576500001
992,москва,верхняя масловка улица,22,37.56106199230769,55.796343323076925
993,москва,петровско-разумовская аллея,16,37.55911347083333,55.79614782500001
994,москва,верхняя масловка улица,21,37.56007071,55.79588944333333
995,москва,нарышкинская аллея,5с2,37.55301102999999,55.797158890000006
997,москва,мишина улица,4,37.56750683333333,55.79396983333333
1000,москва,петровско-разумовский проезд,4а,37.570492425000005,55.7926774
1001,москва,1-я улица бебеля,3а,37.57154153333333,55.79283488888889
1002,москва,1-я улица бебеля,3,37.5720627,55.79289405555556
1004,москва,петровско-разумовский проезд,14,37.5693109625,55.796649612500005
1005,москва,петровско-разумовский проезд,12,37.569481839999995,55.795810229999994
1006,москва,2-я улица бебеля,38к2,37.57053687142858,55.79633177142858
1007,москва,2-я улица бебеля,38к1,37.57098094,55.79621626000001
1008,москва,петровско-разумовский проезд,10,37.56942681111112,55.79496498888889
1009,москва,полтавская улица,35,37.572524166666675,55.79605490833334
1010,москва,полтавская улица,33,37.573073225,55.795355325
1011,москва,писцовая улица,15,37.56962600000001,55.79705752857143
1012,москва,писцовая улица,9-11,37.572209275,55.7972437375
1013,москва,полтавская улица,39-41,37.57280022222223,55.79681932222222
1014,москва,1-я улица бебеля,7,37.57180815555555,55.79415725555557
1015,москва,2-я квесисская улица,24к1,37.5722533,55.795018285714285
1026,москва,серёгина улица,5кд,37.547681782857154,55.79647723142856
1027,москва,серёгина улица,5к1,37.548860057894736,55.79568227894737
1032,москва,константина симонова улица,5к3,37.540624333333334,55.799856088888895
1033,москва,константина симонова улица,5к2,37.541121933333336,55.79963482222222
1041,москва,красноармейская улица,6к2,37.54949693333333,55.7984745
1042,москва,серёгина улица,10,37.54948711249999,55.79444228125
1043,москва,красноармейская улица,2а,37.55280162711864,55.79566116779661
1044,москва,красноармейская улица,2ас2,37.55246184,55.79589952
1047,москва,новый зыковский проезд,5,37.55347735,55.799304141666674
1048,москва,новый зыковский проезд,3,37.55429394444444,55.79866913333333
1051,москва,часовая улица,5б,37.53458074444445,55.80654561111111
1052,москва,черняховского улица,13,37.53646972857143,55.80645625714286
1055,москва,часовая улица,11,37.52935932941177,55.807973232352936
1056,москва,асеева улица,8,37.53068348749999,55.8072152
1057,москва,асеева улица,2,37.5289101,55.80583785
1058,москва,усиевича улица,10а,37.52890921428571,55.80551857142858
1065,москва,2-й балтийский переулок,4а,37.524116375000006,55.80783629999999
